review_id,company,language,sentiment,rating,city,age_group,customer_type,service_type,timestamp,review_text
8154,Etisalat Egypt,English,Neutral,3,Cairo,18-25,Remote Worker,Mobile Plan,2025-12-24 08:22,Decent but not amazing in Port Said as a heavy user though peak hours are rough.
8409,Etisalat Egypt,Arabic,Positive,4,Assiut,36-45,Heavy User,Fiber Internet,2026-02-19 04:36,التغطية جيدة في منطقتي في Luxor، 🙂 لكن محتاج تحسين بسيط
6777,Orange Egypt,Arabic,Neutral,3,Giza,26-35,Business User,Mobile Data,2025-08-04 00:57,الموضوع ماشي الحال في Tanta، أنا Gamer والخدمة غالبًا مستقرة
6278,Orange Egypt,Arabic,Negative,2,Tanta,18-25,Casual Customer,Home Internet,2026-04-23 02:24,النت بيفصل كتير في Giza، 🔥 والتجربة كويسة
3444,WE Telecom Egypt,English,Neutral,3,Luxor,46-60,Remote Worker,Mobile Data,2025-11-29 00:23,Some good points and some issues in Alexandria as a business user and it works for daily use.
9921,Etisalat Egypt,Arabic,Highly Positive,5,Giza,36-45,Gamer,Fiber Internet,2025-12-26 01:52,النت ممتاز جدًا في Ismailia، أنا Student والخدمة غالبًا مستقرة
2288,Vodafone Egypt,English,Highly Negative,1,Luxor,46-60,Parent,Mobile Data,2025-06-24 16:26,Barely any signal in Port Said as a student and I have no major complaints.
4903,WE Telecom Egypt,Arabic,Neutral,3,Cairo,18-25,Elderly User,Mobile Data,2026-04-24 18:36,الموضوع ماشي الحال في Port Said، 🙂 أوقات بيبقى فيه بطء
2176,Vodafone Egypt,English,Highly Positive,5,Mansoura,18-25,Casual Customer,Mobile Plan,2026-03-14 09:24,Calls are واضحة جدا in Cairo age 36-45 and I have no major complaints.
6970,Orange Egypt,English,Positive,4,Cairo,18-25,Casual Customer,Fiber Internet,2026-06-29 05:41,The app works fine in Tanta !! but it could improve.
4752,WE Telecom Egypt,Arabic,Neutral,3,Aswan,36-45,Gamer,Fiber Internet,2025-02-12 20:16,لا حلوة ولا وحشة في Ismailia، 🔥 أوقات بيبقى فيه بطء
3819,WE Telecom Egypt,Arabic,Negative,2,Port Said,46-60,Student,Mobile Data,2025-11-04 19:56,النت بيفصل كتير في Tanta، سنّي 36-45 والخدمة غالبًا مستقرة
3020,WE Telecom Egypt,English,Positive,4,Ismailia,18-25,Parent,Mobile Data,2025-03-23 15:57,Support was helpful in Ismailia !! and I have no major complaints.
655,Vodafone Egypt,Arabic,Negative,2,Giza,46-60,Student,Fiber Internet,2025-11-03 11:23,السرعة ضعيفة جدًا في Port Said، بصراحة لكن محتاج تحسين بسيط
1803,Vodafone Egypt,Arabic,Highly Positive,5,Port Said,18-25,Gamer,Fiber Internet,2026-03-04 04:09,خدمة محترمة بصراحة في Port Said، يعني أوقات بيبقى فيه بطء
8232,Etisalat Egypt,Arabic,Highly Positive,5,Assiut,26-35,Parent,Fiber Internet,2026-05-16 01:54,خدمة محترمة بصراحة في Aswan، بصراحة والخدمة غالبًا مستقرة
2644,Vodafone Egypt,Arabic,Positive,4,Giza,36-45,Heavy User,Home Internet,2025-09-11 10:52,التغطية جيدة في منطقتي في Port Said، يعني أوقات بيبقى فيه بطء
4823,WE Telecom Egypt,Arabic,Positive,4,Aswan,18-25,Heavy User,Fiber Internet,2026-01-29 08:01,النت كويس أغلب الوقت في Assiut، أنا Elderly User والتجربة كويسة
7790,Orange Egypt,Arabic,Neutral,3,Cairo,36-45,Elderly User,Home Internet,2026-04-07 22:37,الموضوع ماشي الحال في Tanta، أنا Gamer والخدمة غالبًا مستقرة
4158,WE Telecom Egypt,Arabic,Negative,2,Luxor,36-45,Student,Fiber Internet,2026-05-29 14:19,السرعة ضعيفة جدًا في Port Said، سنّي 36-45 بس فيه شوية مشاكل
1668,Vodafone Egypt,Arabic,Neutral,3,Port Said,18-25,Business User,Fiber Internet,2025-12-18 14:34,الخدمة عادية في Tanta، 🙂 بس فيه شوية مشاكل
6779,Orange Egypt,English,Neutral,3,Alexandria,46-60,Parent,Mobile Data,2025-02-22 03:59,Average service overall in Ismailia as a student though peak hours are rough.
3696,WE Telecom Egypt,Arabic,Highly Positive,5,Luxor,18-25,Business User,Fiber Internet,2025-10-09 18:42,الشبكة قوية ومستقرة في Alexandria، 🙂 أوقات بيبقى فيه بطء
8353,Etisalat Egypt,Arabic,Highly Positive,5,Alexandria,26-35,Elderly User,Mobile Data,2025-08-11 03:51,المكالمات واضحة جدًا في Alexandria، بصراحة والتجربة كويسة
9006,Etisalat Egypt,English,Highly Positive,5,Luxor,46-60,Business User,Home Internet,2026-01-23 07:12,اتصال مستقر جدا in Cairo on Mobile Data and it works for daily use.
9560,Etisalat Egypt,Arabic,Highly Positive,5,Luxor,18-25,Parent,Home Internet,2025-12-16 10:01,الشبكة قوية ومستقرة في Aswan، سنّي 36-45 لكن محتاج تحسين بسيط
4060,WE Telecom Egypt,Arabic,Neutral,3,Port Said,36-45,Student,Mobile Plan,2025-06-13 04:15,الموضوع ماشي الحال في Mansoura، 🙂 بس فيه شوية مشاكل
2820,WE Telecom Egypt,English,Neutral,3,Assiut,36-45,Parent,Fiber Internet,2026-05-04 23:29,Decent but not amazing in Alexandria overall and the experience is fair.
7055,Orange Egypt,English,Neutral,3,Ismailia,18-25,Remote Worker,Home Internet,2026-01-01 12:53,Decent but not amazing in Alexandria 🙂 and the experience is fair.
7147,Orange Egypt,English,Highly Positive,5,Port Said,18-25,Heavy User,Mobile Plan,2025-04-07 21:09,Calls are crystal clear in Luxor on Mobile Plan but it could improve.
1643,Vodafone Egypt,English,Negative,2,Aswan,18-25,Elderly User,Fiber Internet,2025-04-10 06:04,Speed is too slow in Luxor 🙂 but it could improve.
4471,WE Telecom Egypt,Arabic,Highly Positive,5,Assiut,18-25,Casual Customer,Fiber Internet,2025-08-26 15:25,الشبكة قوية ومستقرة في Aswan، على Mobile Plan لكن محتاج تحسين بسيط
2640,Vodafone Egypt,Arabic,Negative,2,Giza,36-45,Student,Home Internet,2025-02-22 03:24,الدعم بطيء ومش مساعد في Cairo، 🙂 لكن محتاج تحسين بسيط
3996,WE Telecom Egypt,English,Highly Positive,5,Mansoura,46-60,Business User,Mobile Data,2025-10-16 23:52,اتصال مستقر جدا in Alexandria age 46-60 and I have no major complaints.
7887,Orange Egypt,English,Positive,4,Tanta,46-60,Elderly User,Mobile Plan,2026-03-26 09:27,السرعة جيدة أغلب الوقت in Mansoura age 18-25 and I have no major complaints.
5334,WE Telecom Egypt,English,Negative,2,Mansoura,26-35,Student,Home Internet,2025-06-18 11:36,Speed is too slow in Mansoura age 26-35 and it works for daily use.
2782,WE Telecom Egypt,English,Negative,2,Port Said,46-60,Heavy User,Home Internet,2026-02-24 22:57,Customer support is unhelpful in Alexandria honestly though peak hours are rough.
1819,Vodafone Egypt,Arabic,Highly Positive,5,Cairo,46-60,Casual Customer,Fiber Internet,2025-11-24 08:07,المكالمات واضحة جدًا في Tanta، سنّي 26-35 بس فيه شوية مشاكل
9044,Etisalat Egypt,Arabic,Positive,4,Alexandria,26-35,Parent,Fiber Internet,2026-04-30 15:45,التطبيق مفيد وسهل في Mansoura، 🙂 أوقات بيبقى فيه بطء
1533,Vodafone Egypt,Arabic,Positive,4,Luxor,18-25,Elderly User,Mobile Data,2026-03-12 05:35,التطبيق مفيد وسهل في Cairo، يعني أوقات بيبقى فيه بطء
4187,WE Telecom Egypt,English,Positive,4,Tanta,36-45,Casual Customer,Mobile Data,2026-04-28 18:29,السرعة جيدة أغلب الوقت in Ismailia honestly but it could improve.
8851,Etisalat Egypt,Arabic,Positive,4,Assiut,36-45,Elderly User,Fiber Internet,2025-05-22 14:55,النت كويس أغلب الوقت في Alexandria، أنا Heavy User والتجربة كويسة
3535,WE Telecom Egypt,English,Positive,4,Ismailia,36-45,Business User,Fiber Internet,2025-08-06 11:43,Coverage is solid in my area in Mansoura overall and I have no major complaints.
9067,Etisalat Egypt,English,Negative,2,Luxor,18-25,Elderly User,Fiber Internet,2025-06-04 05:10,Internet drops often in Ismailia honestly and the experience is fair.
4460,WE Telecom Egypt,Arabic,Neutral,3,Tanta,18-25,Heavy User,Fiber Internet,2025-02-26 19:03,لا حلوة ولا وحشة في Port Said، سنّي 46-60 أوقات بيبقى فيه بطء
6900,Orange Egypt,English,Highly Positive,5,Ismailia,36-45,Parent,Mobile Data,2025-03-23 21:53,اتصال مستقر جدا in Port Said on Mobile Data and it works for daily use.
155,Vodafone Egypt,English,Neutral,3,Aswan,36-45,Student,Mobile Plan,2026-01-17 00:15,Decent but not amazing in Ismailia age 46-60 and it works for daily use.
8545,Etisalat Egypt,Arabic,Highly Positive,5,Aswan,46-60,Parent,Home Internet,2025-03-08 00:09,النت ممتاز جدًا في Port Said، 🔥 أوقات بيبقى فيه بطء
5290,WE Telecom Egypt,Arabic,Highly Positive,5,Alexandria,18-25,Remote Worker,Home Internet,2026-02-14 17:11,المكالمات واضحة جدًا في Port Said، 🙂 أوقات بيبقى فيه بطء
5352,WE Telecom Egypt,Arabic,Highly Positive,5,Luxor,46-60,Business User,Mobile Data,2025-07-02 22:45,المكالمات واضحة جدًا في Assiut، أنا Elderly User والتجربة كويسة
687,Vodafone Egypt,English,Positive,4,Aswan,18-25,Gamer,Mobile Plan,2026-05-15 07:33,Support was helpful in Aswan 🙂 and I have no major complaints.
6732,Orange Egypt,Arabic,Neutral,3,Cairo,36-45,Elderly User,Home Internet,2025-09-30 02:13,لا حلوة ولا وحشة في Assiut، على Home Internet لكن محتاج تحسين بسيط
5641,WE Telecom Egypt,English,Negative,2,Cairo,18-25,Remote Worker,Home Internet,2025-06-06 19:58,Internet drops often in Assiut on Fiber Internet and I have no major complaints.
8446,Etisalat Egypt,English,Highly Positive,5,Mansoura,26-35,Parent,Fiber Internet,2025-09-20 03:34,جودة شبكة ممتازة in Assiut on Fiber Internet but it could improve.
1870,Vodafone Egypt,English,Highly Negative,1,Alexandria,18-25,Remote Worker,Fiber Internet,2025-09-30 16:15,Complete waste of money in Port Said overall though peak hours are rough.
3863,WE Telecom Egypt,Arabic,Highly Positive,5,Tanta,46-60,Heavy User,Mobile Data,2025-05-06 19:36,النت ممتاز جدًا في Mansoura، 🔥 لكن محتاج تحسين بسيط
3078,WE Telecom Egypt,Arabic,Negative,2,Luxor,36-45,Remote Worker,Mobile Data,2026-01-16 10:49,النت بيفصل كتير في Mansoura، على Fiber Internet لكن محتاج تحسين بسيط
461,Vodafone Egypt,Arabic,Highly Positive,5,Luxor,26-35,Parent,Mobile Plan,2025-12-04 12:34,الشبكة قوية ومستقرة في Alexandria، 🙂 والتجربة كويسة
1823,Vodafone Egypt,Arabic,Negative,2,Mansoura,46-60,Remote Worker,Fiber Internet,2026-03-02 02:11,الباقة مش مناسبة في Aswan، سنّي 36-45 والتجربة كويسة
6234,Orange Egypt,English,Neutral,3,Mansoura,46-60,Casual Customer,Fiber Internet,2025-10-11 11:56,Average service overall in Ismailia on Mobile Data and I have no major complaints.
960,Vodafone Egypt,English,Neutral,3,Aswan,36-45,Remote Worker,Mobile Plan,2026-04-19 21:12,Average service overall in Cairo honestly and the experience is fair.
5900,Orange Egypt,English,Neutral,3,Cairo,18-25,Student,Mobile Data,2025-05-20 18:43,It gets the job done in Ismailia !! and it works for daily use.
1702,Vodafone Egypt,Arabic,Highly Negative,1,Giza,26-35,Business User,Fiber Internet,2026-06-02 23:24,الشبكة سيئة جدًا في Ismailia، 🔥 والخدمة غالبًا مستقرة
7645,Orange Egypt,English,Negative,2,Mansoura,46-60,Parent,Mobile Data,2026-06-28 01:26,Speed is too slow in Giza honestly and it works for daily use.
5245,WE Telecom Egypt,Arabic,Highly Positive,5,Port Said,36-45,Business User,Mobile Data,2025-02-03 15:00,الشبكة قوية ومستقرة في Tanta، 🙂 بس فيه شوية مشاكل
119,Vodafone Egypt,English,Neutral,3,Tanta,18-25,Gamer,Fiber Internet,2025-08-31 19:20,Average service overall in Tanta !! and I have no major complaints.
5059,WE Telecom Egypt,Arabic,Positive,4,Luxor,18-25,Business User,Fiber Internet,2025-08-03 00:48,التطبيق مفيد وسهل في Alexandria، على Home Internet بس فيه شوية مشاكل
1230,Vodafone Egypt,English,Highly Positive,5,Aswan,36-45,Gamer,Home Internet,2026-02-03 00:01,اتصال مستقر جدا in Luxor age 36-45 and the experience is fair.
4853,WE Telecom Egypt,Arabic,Neutral,3,Assiut,46-60,Heavy User,Mobile Plan,2025-05-06 14:01,الموضوع ماشي الحال في Giza، أنا Student والخدمة غالبًا مستقرة
3290,WE Telecom Egypt,English,Positive,4,Port Said,46-60,Business User,Mobile Plan,2026-06-21 04:13,The app works fine in Assiut as a elderly user and I have no major complaints.
6344,Orange Egypt,English,Highly Negative,1,Port Said,18-25,Parent,Mobile Plan,2025-01-24 20:08,Complete waste of money in Aswan on Home Internet and it works for daily use.
1317,Vodafone Egypt,Arabic,Positive,4,Assiut,26-35,Business User,Mobile Data,2025-12-09 19:03,التغطية جيدة في منطقتي في Cairo، سنّي 36-45 بس فيه شوية مشاكل
1727,Vodafone Egypt,Arabic,Positive,4,Cairo,18-25,Remote Worker,Fiber Internet,2026-03-15 06:46,النت كويس أغلب الوقت في Port Said، بصراحة والخدمة غالبًا مستقرة
8628,Etisalat Egypt,Arabic,Positive,4,Alexandria,26-35,Parent,Mobile Data,2025-10-18 13:29,الخدمة مستقرة بشكل عام في Cairo، على Mobile Plan بس فيه شوية مشاكل
7060,Orange Egypt,English,Highly Negative,1,Mansoura,26-35,Remote Worker,Mobile Data,2025-01-01 01:20,Network is terrible in Aswan age 26-35 though peak hours are rough.
6143,Orange Egypt,English,Positive,4,Cairo,18-25,Elderly User,Home Internet,2025-11-21 16:53,The app works fine in Alexandria honestly but it could improve.
704,Vodafone Egypt,English,Highly Negative,1,Giza,36-45,Business User,Mobile Data,2025-10-09 19:48,Complete waste of money in Aswan as a parent and the experience is fair.
1376,Vodafone Egypt,Arabic,Neutral,3,Alexandria,46-60,Parent,Mobile Data,2026-03-16 09:18,الموضوع ماشي الحال في Cairo، سنّي 46-60 بس فيه شوية مشاكل
8518,Etisalat Egypt,Arabic,Highly Negative,1,Luxor,36-45,Gamer,Fiber Internet,2026-02-17 09:06,خسارة في الفلوس في Tanta، سنّي 46-60 والتجربة كويسة
8241,Etisalat Egypt,English,Highly Negative,1,Assiut,26-35,Elderly User,Fiber Internet,2025-06-12 03:29,أسوأ خدمة على الإطلاق in Mansoura honestly and I have no major complaints.
7306,Orange Egypt,English,Positive,4,Giza,18-25,Heavy User,Home Internet,2025-02-20 10:15,السرعة جيدة أغلب الوقت in Luxor age 26-35 but it could improve.
7325,Orange Egypt,English,Negative,2,Port Said,26-35,Remote Worker,Mobile Data,2025-07-22 02:28,The plan feels overpriced in Assiut honestly and the experience is fair.
1660,Vodafone Egypt,English,Highly Positive,5,Aswan,46-60,Casual Customer,Fiber Internet,2025-02-24 12:29,اتصال مستقر جدا in Port Said !! and I have no major complaints.
5803,Orange Egypt,Arabic,Negative,2,Mansoura,46-60,Elderly User,Mobile Data,2025-03-28 13:33,النت بيفصل كتير في Mansoura، يعني والخدمة غالبًا مستقرة
8121,Etisalat Egypt,Arabic,Highly Negative,1,Giza,18-25,Parent,Home Internet,2025-12-29 20:20,أسوأ تجربة في Giza، 🙂 أوقات بيبقى فيه بطء
6815,Orange Egypt,Arabic,Negative,2,Alexandria,46-60,Elderly User,Mobile Data,2026-04-29 16:47,الدعم بطيء ومش مساعد في Port Said، 🔥 بس فيه شوية مشاكل
4678,WE Telecom Egypt,Arabic,Positive,4,Giza,46-60,Gamer,Mobile Plan,2026-03-25 11:10,التغطية جيدة في منطقتي في Tanta، 🙂 أوقات بيبقى فيه بطء
4794,WE Telecom Egypt,English,Neutral,3,Ismailia,18-25,Remote Worker,Home Internet,2025-09-09 02:28,Some good points and some issues in Tanta 🙂 and it works for daily use.
4084,WE Telecom Egypt,Arabic,Positive,4,Aswan,36-45,Elderly User,Mobile Data,2026-01-13 08:39,التغطية جيدة في منطقتي في Ismailia، 🙂 والتجربة كويسة
7243,Orange Egypt,English,Negative,2,Alexandria,36-45,Remote Worker,Fiber Internet,2025-01-11 22:24,The plan feels overpriced in Cairo 🙂 though peak hours are rough.
2551,Vodafone Egypt,Arabic,Positive,4,Ismailia,18-25,Elderly User,Fiber Internet,2025-08-29 01:22,التغطية جيدة في منطقتي في Port Said، على Mobile Plan لكن محتاج تحسين بسيط
9418,Etisalat Egypt,Arabic,Positive,4,Tanta,18-25,Elderly User,Mobile Plan,2025-12-23 05:48,الخدمة مستقرة بشكل عام في Aswan، سنّي 26-35 لكن محتاج تحسين بسيط
6541,Orange Egypt,Arabic,Negative,2,Port Said,46-60,Heavy User,Mobile Plan,2025-08-22 09:50,النت بيفصل كتير في Giza، سنّي 18-25 والتجربة كويسة
5767,Orange Egypt,English,Positive,4,Luxor,46-60,Parent,Fiber Internet,2026-06-07 18:59,The app works fine in Aswan on Mobile Data and the experience is fair.
2500,Vodafone Egypt,Arabic,Negative,2,Aswan,26-35,Remote Worker,Home Internet,2025-01-01 02:03,السرعة ضعيفة جدًا في Assiut، سنّي 26-35 أوقات بيبقى فيه بطء
2377,Vodafone Egypt,English,Positive,4,Port Said,18-25,Business User,Home Internet,2025-10-21 21:16,Support was helpful in Giza age 36-45 and I have no major complaints.
3376,WE Telecom Egypt,Arabic,Highly Positive,5,Giza,18-25,Parent,Home Internet,2025-11-20 18:28,النت ممتاز جدًا في Assiut، سنّي 26-35 لكن محتاج تحسين بسيط
2713,WE Telecom Egypt,English,Positive,4,Alexandria,36-45,Business User,Mobile Plan,2026-06-11 06:06,السرعة جيدة أغلب الوقت in Port Said overall but it could improve.
4572,WE Telecom Egypt,Arabic,Highly Positive,5,Ismailia,36-45,Parent,Mobile Data,2025-04-25 02:31,الشبكة قوية ومستقرة في Luxor، 🔥 بس فيه شوية مشاكل
4790,WE Telecom Egypt,English,Negative,2,Cairo,36-45,Heavy User,Fiber Internet,2025-03-16 11:04,Customer support is unhelpful in Assiut overall and it works for daily use.
8096,Etisalat Egypt,Arabic,Neutral,3,Cairo,36-45,Parent,Fiber Internet,2025-06-28 02:10,فيه مميزات وعيوب في Giza، 🙂 بس فيه شوية مشاكل
6321,Orange Egypt,Arabic,Neutral,3,Tanta,18-25,Remote Worker,Fiber Internet,2025-03-19 12:24,فيه مميزات وعيوب في Luxor، أنا Elderly User والتجربة كويسة
7820,Orange Egypt,English,Highly Negative,1,Tanta,26-35,Parent,Home Internet,2025-04-30 23:30,Barely any signal in Giza age 26-35 and the experience is fair.
7377,Orange Egypt,English,Neutral,3,Ismailia,26-35,Casual Customer,Fiber Internet,2025-06-07 22:11,Average service overall in Cairo honestly and the experience is fair.
5624,WE Telecom Egypt,English,Neutral,3,Alexandria,36-45,Casual Customer,Mobile Plan,2026-05-01 23:23,Average service overall in Luxor on Mobile Plan and the experience is fair.
867,Vodafone Egypt,Arabic,Positive,4,Alexandria,46-60,Parent,Fiber Internet,2026-05-10 05:38,النت كويس أغلب الوقت في Tanta، على Fiber Internet لكن محتاج تحسين بسيط
6617,Orange Egypt,English,Neutral,3,Ismailia,26-35,Elderly User,Mobile Plan,2025-10-24 02:59,Decent but not amazing in Luxor honestly though peak hours are rough.
6040,Orange Egypt,English,Highly Negative,1,Giza,36-45,Parent,Fiber Internet,2026-04-08 15:08,أسوأ خدمة على الإطلاق in Luxor overall though peak hours are rough.
1316,Vodafone Egypt,Arabic,Neutral,3,Alexandria,46-60,Gamer,Fiber Internet,2025-01-11 16:27,الموضوع ماشي الحال في Alexandria، بصراحة والخدمة غالبًا مستقرة
6024,Orange Egypt,English,Highly Negative,1,Port Said,46-60,Elderly User,Mobile Data,2025-10-23 09:40,Complete waste of money in Ismailia age 36-45 and I have no major complaints.
8267,Etisalat Egypt,English,Highly Positive,5,Aswan,36-45,Elderly User,Home Internet,2026-05-04 05:33,Calls are واضحة جدا in Alexandria on Fiber Internet and I have no major complaints.
4000,WE Telecom Egypt,English,Highly Positive,5,Aswan,46-60,Heavy User,Fiber Internet,2025-06-11 21:30,Excellent network quality in Ismailia honestly and I have no major complaints.
4843,WE Telecom Egypt,Arabic,Negative,2,Mansoura,36-45,Student,Home Internet,2025-02-02 15:30,الباقة مش مناسبة في Port Said، 🔥 بس فيه شوية مشاكل
4934,WE Telecom Egypt,English,Positive,4,Port Said,46-60,Gamer,Home Internet,2026-05-14 17:39,The app works fine in Assiut !! and the experience is fair.
6373,Orange Egypt,Arabic,Highly Positive,5,Ismailia,18-25,Gamer,Mobile Plan,2025-12-03 01:17,خدمة محترمة بصراحة في Luxor، أنا Parent بس فيه شوية مشاكل
2828,WE Telecom Egypt,Arabic,Positive,4,Luxor,46-60,Parent,Mobile Data,2025-11-26 22:25,التغطية جيدة في منطقتي في Alexandria، بصراحة والتجربة كويسة
610,Vodafone Egypt,Arabic,Positive,4,Tanta,46-60,Student,Mobile Plan,2025-12-05 14:56,النت كويس أغلب الوقت في Assiut، 🙂 بس فيه شوية مشاكل
6800,Orange Egypt,English,Negative,2,Assiut,46-60,Remote Worker,Mobile Data,2025-02-16 11:27,The plan feels overpriced in Ismailia on Mobile Data and I have no major complaints.
3756,WE Telecom Egypt,English,Highly Positive,5,Ismailia,26-35,Business User,Fiber Internet,2026-01-14 03:37,Calls are واضحة جدا in Luxor overall though peak hours are rough.
1086,Vodafone Egypt,Arabic,Negative,2,Assiut,36-45,Casual Customer,Home Internet,2026-03-25 07:28,النت بيفصل كتير في Assiut، يعني بس فيه شوية مشاكل
2857,WE Telecom Egypt,Arabic,Positive,4,Port Said,46-60,Business User,Mobile Plan,2026-02-17 18:59,النت كويس أغلب الوقت في Cairo، على Fiber Internet أوقات بيبقى فيه بطء
5270,WE Telecom Egypt,Arabic,Positive,4,Assiut,18-25,Student,Fiber Internet,2025-03-02 07:22,الخدمة مستقرة بشكل عام في Cairo، بصراحة لكن محتاج تحسين بسيط
4388,WE Telecom Egypt,English,Negative,2,Mansoura,26-35,Casual Customer,Fiber Internet,2025-08-31 15:53,Internet drops often in Assiut !! and it works for daily use.
4080,WE Telecom Egypt,Arabic,Highly Negative,1,Giza,26-35,Student,Home Internet,2025-11-17 20:07,أسوأ تجربة في Luxor، 🙂 والخدمة غالبًا مستقرة
8337,Etisalat Egypt,English,Neutral,3,Giza,26-35,Remote Worker,Home Internet,2026-06-26 10:42,Some good points and some issues in Aswan 🙂 and the experience is fair.
7388,Orange Egypt,Arabic,Neutral,3,Alexandria,26-35,Parent,Fiber Internet,2026-06-29 19:51,فيه مميزات وعيوب في Giza، على Mobile Data بس فيه شوية مشاكل
8008,Etisalat Egypt,English,Positive,4,Ismailia,26-35,Casual Customer,Fiber Internet,2025-12-05 06:00,Coverage is solid in my area in Cairo !! but it could improve.
3007,WE Telecom Egypt,Arabic,Positive,4,Ismailia,36-45,Business User,Mobile Data,2026-02-10 10:37,التطبيق مفيد وسهل في Assiut، يعني والتجربة كويسة
3852,WE Telecom Egypt,English,Highly Negative,1,Tanta,36-45,Remote Worker,Mobile Plan,2026-01-16 02:30,أسوأ خدمة على الإطلاق in Ismailia overall though peak hours are rough.
6231,Orange Egypt,Arabic,Positive,4,Cairo,46-60,Student,Home Internet,2026-02-06 21:56,التطبيق مفيد وسهل في Alexandria، 🔥 لكن محتاج تحسين بسيط
2106,Vodafone Egypt,Arabic,Negative,2,Tanta,26-35,Elderly User,Mobile Data,2025-03-16 15:08,الدعم بطيء ومش مساعد في Alexandria، أنا Heavy User بس فيه شوية مشاكل
4351,WE Telecom Egypt,Arabic,Neutral,3,Cairo,18-25,Parent,Mobile Plan,2025-06-16 00:18,فيه مميزات وعيوب في Cairo، 🔥 أوقات بيبقى فيه بطء
8015,Etisalat Egypt,English,Positive,4,Assiut,26-35,Heavy User,Fiber Internet,2025-08-26 04:15,السرعة جيدة أغلب الوقت in Giza 🙂 but it could improve.
5131,WE Telecom Egypt,English,Positive,4,Ismailia,18-25,Casual Customer,Fiber Internet,2026-06-24 21:19,The app works fine in Port Said as a casual customer and the experience is fair.
7973,Etisalat Egypt,English,Neutral,3,Luxor,26-35,Elderly User,Mobile Plan,2025-12-02 19:40,Average service overall in Tanta !! and the experience is fair.
8948,Etisalat Egypt,English,Negative,2,Cairo,46-60,Student,Home Internet,2025-05-11 19:14,Customer support is unhelpful in Cairo 🙂 though peak hours are rough.
4835,WE Telecom Egypt,English,Negative,2,Alexandria,26-35,Student,Mobile Plan,2026-04-06 01:44,Internet drops often in Port Said as a elderly user and the experience is fair.
2797,WE Telecom Egypt,English,Highly Positive,5,Assiut,26-35,Casual Customer,Mobile Plan,2025-04-22 04:33,اتصال مستقر جدا in Alexandria age 26-35 though peak hours are rough.
831,Vodafone Egypt,Arabic,Neutral,3,Aswan,36-45,Casual Customer,Mobile Data,2025-02-11 07:43,فيه مميزات وعيوب في Luxor، سنّي 46-60 والخدمة غالبًا مستقرة
8926,Etisalat Egypt,English,Highly Positive,5,Port Said,46-60,Elderly User,Mobile Plan,2025-08-19 16:05,Great value overall in Aswan overall and I have no major complaints.
7884,Orange Egypt,English,Positive,4,Luxor,36-45,Business User,Fiber Internet,2025-12-12 23:27,السرعة جيدة أغلب الوقت in Port Said !! but it could improve.
3647,WE Telecom Egypt,Arabic,Neutral,3,Port Said,36-45,Gamer,Home Internet,2025-05-01 13:51,الخدمة عادية في Mansoura، 🔥 أوقات بيبقى فيه بطء
